species_indonesia,species_english,nama_latin,nama_daerah,kelompok,jenis_perairan,jenis_konsumsi,jenis_hias,jenis_dilindungi,prioritas,search_keywords,min_images
Kumeje batu,japanese whiptail,Pentapodus nagasakiensis,anjang-anjang jepun,Pelangi?,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pentapodus nagasakiensis ; Pentapodus nagasakiensis fish ; ikan Kumeje batu ; japanese whiptail fish,100
Kumeje batu blue-spotted large-eye,blue-spotted large-eye bream,Gymnocranius microdon,,Lencam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Gymnocranius microdon ; Gymnocranius microdon fish ; ikan Kumeje batu blue-spotted large-eye ; blue-spotted large-eye bream fish,100
Kumeje batu yellowband monocle,red-spot dwarf monocle bream,Parascolopsis rufomaculatus,,Kurisi,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Parascolopsis rufomaculatus ; Parascolopsis rufomaculatus fish ; ikan Kumeje batu yellowband monocle ; red-spot dwarf monocle bream fish,100
Kumeje batu yellowsnout large-eye,yellowsnout large-eye bream,Gymnocranius frenatus,,Lencam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Gymnocranius frenatus ; Gymnocranius frenatus fish ; ikan Kumeje batu yellowsnout large-eye ; yellowsnout large-eye bream fish,100
Kuniran empat strip,fourstripe goatfish,Upeneus quadrilineatus,dayah jenggot; ciko-ciko; gelang mudin,"Bijinangka, jenggot",LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Upeneus quadrilineatus ; Upeneus quadrilineatus fish ; ikan Kuniran empat strip ; fourstripe goatfish fish,100
Kupang,corbula,Corbula faba,,Kerang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Corbula faba ; Corbula faba fish ; ikan Kerang putih ; corbula fish,100
Kupang cardinalfish,kupang cardinal fish,Ostorhinchus wassinki,,Capungan,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Ostorhinchus wassinki ; Ostorhinchus wassinki fish ; ikan Kupang cardinalfish ; kupang cardinal fish fish,100
Kura-kura,west african black turtle,Pelusios niger,,Kura-kura,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Pelusios niger ; Pelusios niger fish ; ikan Kura-kura ; west african black turtle fish,100
Kura-kura biuku,river terrapin,Batagur baska,,Kura-kura,TAWAR,NON KONSUMSI,NON HIAS,YA,HIGH,Batagur baska ; Batagur baska fish ; ikan Tuntong ; river terrapin fish,100
Kura-kura pipi putih,black marsh turtle; white cheek terrapin,Siebenrockiella crassicollis,,Kura-kura,TAWAR,NON KONSUMSI,HIAS,YA,HIGH,Siebenrockiella crassicollis ; Siebenrockiella crassicollis fish ; ikan Kura-kura pipi putih ; black marsh turtle; white cheek terrapin fish,100
Kurakura papua leher panjang,new guinea snakenecked turtle,Chelodina Novaeguineae,,KURA,TAWAR,,,YA,HIGH,Chelodina Novaeguineae ; Chelodina Novaeguineae fish ; ikan Kurakura papua leher panjang ; new guinea snakenecked turtle fish,100
Kurakura rote,rotisnakenecked turtle,Chelodina Mccordi,,KURA,TAWAR,,,YA,HIGH,Chelodina Mccordi ; Chelodina Mccordi fish ; ikan Kurakura rote ; rotisnakenecked turtle fish,100
Kurisi,pale snapper,Etelis radiosus ; Nemipterus nematophorus ; Nemipterus nemurus ; Nemipterus peronii ; Nemipterus virgatus,gurisi; juku eja; kerisi; kuisi; kuningan; kuniran; kurisi cambuk ganda; tukak,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Nemipterus nemurus ; Nemipterus nemurus fish ; Nemipterus peronii ; Nemipterus peronii fish ; Etelis radiosus ; Etelis radiosus fish ; Nemipterus nematophorus ; Nemipterus nematophorus fish ; Nemipterus virgatus ; Nemipterus virgatus fish ; ikan Kurisi ; redspine threadfin bream fish,100
Kurisi balinese threadfin,balinese threadfin bream,Nemipterus balinensis,,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Nemipterus balinensis ; Nemipterus balinensis fish ; ikan Kurisi balinese threadfin ; balinese threadfin bream fish,100
Kurisi fivelined threadfin,fivelined threadfin bream,Nemipterus tambuloides,gurisi,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Nemipterus tambuloides ; Nemipterus tambuloides fish ; ikan Kurisi fivelined threadfin ; fivelined threadfin bream fish,100
Kurisi japanese threadfin,japanese threadfin bream,Nemipterus japonicus,gurisi; krisi,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Nemipterus japonicus ; Nemipterus japonicus fish ; ikan Kurisi japanese threadfin ; japanese threadfin bream fish,100
Kurisi perak,rusty jobfish,Aphareus rutilans,kuri; kerisi; tukak; gurisi; kamijan; juku; eja; kresek,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Aphareus rutilans ; Aphareus rutilans fish ; ikan Kurisi perak ; rusty jobfish fish,100
Kurisi ungu,crimson jobfish,Pristipomoides filamentosus,kurisi,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pristipomoides filamentosus ; Pristipomoides filamentosus fish ; ikan Kurisi ungu ; crimson jobfish fish,100
Kurisi yellow-tipped threadfin,yellow-tipped threadfin bream,Nemipterus nematopus,,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Nemipterus nematopus ; Nemipterus nematopus fish ; ikan Kurisi yellow-tipped threadfin ; yellow-tipped threadfin bream fish,100
Kurisi yellowbelly threadfin,yellowbelly threadfin bream,Nemiptures bathyibius,,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Nemiptures bathyibius ; Nemiptures bathyibius fish ; ikan Kurisi yellowbelly threadfin ; yellowbelly threadfin bream fish,100
Kutu laut,northern spined chiton,Acanthopleura gemmata,,Kutu laut,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Acanthopleura gemmata ; Acanthopleura gemmata fish ; ikan Kutu laut ; northern spined chiton fish,100
Kuwe,orangespotted trevally,Carangoides bajad ; Carangoides chrysophrys ; Carangoides ciliarius ; Carangoides coeruleopinnatus ; Carangoides dinema ; Carangoides hedlandensis ; Carangoides malabaricus ; Carangoides oblongus ; Caranx heberi ; Caranx lugubris ; Caranx sexfasciatus ; Pseudocaranx dentex ; Ulua mentalis ; Uraspis secunda,cakal; cupa; ikan kwee; kalumbe (bajo); kuwe abu-abu totol kuning; kuwe malabar; kuwe sirip hitam; kwe abu-abu mata besar; kwe pektoral panjang; kwee; kwee bintik; kwetengguli; meah mondo; putihan; salem; selar mulut kapas; simba; simba biru; simba lili bonua; sulir; terman; tuduh toba,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carangoides ciliarius ; Carangoides ciliarius fish ; Caranx lugubris ; Caranx lugubris fish ; Uraspis secunda ; Uraspis secunda fish ; Carangoides bajad ; Carangoides bajad fish ; Carangoides chrysophrys ; Carangoides chrysophrys fish ; Carangoides coeruleopinnatus ; Carangoides coeruleopinnatus fish ; Carangoides hedlandensis ; Carangoides hedlandensis fish ; Carangoides malabaricus ; Carangoides malabaricus fish ; Carangoides oblongus ; Carangoides oblongus fish ; Ulua mentalis ; Ulua mentalis fish ; Carangoides dinema ; Carangoides dinema fish ; Caranx heberi ; Caranx heberi fish ; Caranx sexfasciatus ; Caranx sexfasciatus fish ; Pseudocaranx dentex ; Pseudocaranx dentex fish ; ikan Kuwe ; longfin cavalla fish,100
Kuwe abu-abu sirip gelap,big rivoliana [shortfin trevally],Seriola rivoliana,kwe abu-abu sirip gelap,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Seriola rivoliana ; Seriola rivoliana fish ; ikan Kuwe abu-abu sirip gelap ; big rivoliana [shortfin trevally] fish,100
Kuwe bibir tebal,island trevally,Carangoides orthogrammus,,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carangoides orthogrammus ; Carangoides orthogrammus fish ; ikan Kuwe bibir tebal ; island trevally fish,100
Kuwe bintik,smallspotted dart,Trachinotus baillonii,lowang bintik,Kuwe,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Trachinotus baillonii ; Trachinotus baillonii fish ; ikan Kuwe bintik ; smallspotted dart fish,100
Kuwe caudal hitam,giant trevally,Caranx ignobilis,meye,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Caranx ignobilis ; Caranx ignobilis fish ; ikan Kuwe caudal hitam ; giant trevally fish,100
Kuwe ekor kuning,yellowtail tang,Zebrasoma xanthurum,,Kuwe,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Zebrasoma xanthurum ; Zebrasoma xanthurum fish ; ikan Kuwe ekor kuning ; yellowtail tang fish,100
Kuwe kaudal hitam,tille trevally; giant trevally,Caranx tille,ikan kuweh; kwe kaudal hitam,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Caranx tille ; Caranx tille fish ; ikan Kuwe kaudal hitam ; tille trevally; giant trevally fish,100
Kuwe lilin,bludger trevally,Carangoides gymnostethus ; Caranx melampygus,bobara; boboka; bubara; cepra; daja njubah; gandar; garongsong; gergarin; kakapas; kalampeto; katombo; kebo; kwee lilin; lamuru batang; lan eti; langoan; langoan gerongsong; masidung; puka putih; tangkolak; weti,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carangoides gymnostethus ; Carangoides gymnostethus fish ; Caranx melampygus ; Caranx melampygus fish ; ikan Kuwe lilin ; bludger trevally fish,100
Kuwe macan,yellowspotted trevally,Carangoides fulvoguttatus ; Gnathanodon speciosus,badong; betonan taras; bibara potong; bobara; bubura; can macanan gading; gergain; gerhai; kuweh macan; langoan; lolosi; munggirat; pidana (sumatera),Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carangoides fulvoguttatus ; Carangoides fulvoguttatus fish ; Gnathanodon speciosus ; Gnathanodon speciosus fish ; ikan Kuwe macan ; yellowspotted trevally fish,100
Kuwe mata besar,bluespotted trevally,Caranx bucculentus,kuweh mata besar,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Caranx bucculentus ; Caranx bucculentus fish ; ikan Kuwe mata besar ; bluespotted trevally fish,100
Kuwe moncong tumpul bulat,ferdau's cavalla; blue trevally,Carangoides ferdau,kwe moncong tumpul bulat,Kuwe,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Carangoides ferdau ; Carangoides ferdau fish ; ikan Kuwe moncong tumpul bulat ; ferdau's cavalla; blue trevally fish,100
Kuwe papua,brassy trevally,Caranx papuensis,nyumba langko kape; simba,Kuwe,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Caranx papuensis ; Caranx papuensis fish ; ikan Kuwe papua ; brassy trevally fish,100
Kuwe pectoral,short pectoralf trevally [amber jack],Seriola dumerili,pendek,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Seriola dumerili ; Seriola dumerili fish ; ikan Kuwe pectoral ; short pectoralf trevally [amber jack] fish,100
Kuwe pectoralf sabit,obliqebanded trevally,Carangoides platiotaenia,kuweh pectoralf sabit,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carangoides platiotaenia ; Carangoides platiotaenia fish ; ikan Kuwe pectoralf sabit ; obliqebanded trevally fish,100
Kuwe rambut,african pompano,Alectis ciliaris,kwe rambut; rambe anoi; bubara; peperek; ibu rambu; kwee rombeh; jebris; jebus; ikan rambut; lowang; nyubba; rambeu mando; simba lili bonua; rambai,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Alectis ciliaris ; Alectis ciliaris fish ; ikan Kuwe rambut ; african pompano fish,100
Kuwe rombeh,indian threadfish,Alectis indicus,jebris; lowang; mando; rambo-rambo; kwee rambut; peperek; ibu rambu; cepa; ramcu,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Alectis indicus ; Alectis indicus fish ; ikan Kuwe rombeh ; indian threadfish fish,100
Kuwe sirip kuning,whitefin trevally,Carangoides equula,kuwe sirip kuning,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carangoides equula ; Carangoides equula fish ; ikan Kuwe sirip kuning ; whitefin trevally fish,100
Labilabi bintang,asian narrowheaded softshell turtle,Chitra Chitra,,LABI,TAWAR,,,YA,HIGH,Chitra Chitra ; Chitra Chitra fish ; ikan Labilabi bintang ; asian narrowheaded softshell turtle fish,100
Labilabi moncong babi,pignosed turtle,Carettochelys Insculpta,,LABI,TAWAR,,,YA,HIGH,Carettochelys Insculpta ; Carettochelys Insculpta fish ; ikan Labilabi moncong babi ; pignosed turtle fish,100
Lais,long-barbel sheatfish,Kryptoterus limpok ; Kryptoterus micronema,lais,Lais,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Kryptoterus limpok ; Kryptoterus limpok fish ; Kryptoterus micronema ; Kryptoterus micronema fish ; ikan Lais ; long-barbel sheatfish fish,100
Lais juaro,blue sheatfish,Kryptopterus cryptopterus,,Lais,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Kryptopterus cryptopterus ; Kryptopterus cryptopterus fish ; ikan Lais juaro ; blue sheatfish fish,100
Lais muncung,catfish,Phalacronotus micronemus,lais; lais muncung; junggang lais,Patin,"PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Phalacronotus micronemus ; Phalacronotus micronemus fish ; ikan Lais muncung ; catfish fish,100
Lais ompok,butter catfish,Ompok binotatus ; Ompok borneensis ; Ompok brevirictus ; Ompok eugeneiatus ; Ompok fumidus ; Ompok hypophthalmus ; Ompok jaynei ; Ompok leiacanthus ; Ompok miostoma ; Ompok pluriadiatus ; Ompok rhadianurus ; Ompok siluroides ; Ompok supernus ; Ompok weberi,lempuk; lepok; ompok,Ompok,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Ompok miostoma ; Ompok miostoma fish ; Ompok binotatus ; Ompok binotatus fish ; Ompok borneensis ; Ompok borneensis fish ; Ompok brevirictus ; Ompok brevirictus fish ; Ompok eugeneiatus ; Ompok eugeneiatus fish ; Ompok fumidus ; Ompok fumidus fish ; Ompok hypophthalmus ; Ompok hypophthalmus fish ; Ompok jaynei ; Ompok jaynei fish ; Ompok leiacanthus ; Ompok leiacanthus fish ; Ompok pluriadiatus ; Ompok pluriadiatus fish ; Ompok rhadianurus ; Ompok rhadianurus fish ; Ompok siluroides ; Ompok siluroides fish ; Ompok supernus ; Ompok supernus fish ; Ompok weberi ; Ompok weberi fish ; ikan Lais ompok ; butter catfish fish,100
Lais timah,sheat catfish,Phalacronotus apogon,bentilap; lais timah,Lais,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Phalacronotus apogon ; Phalacronotus apogon fish ; ikan Lais timah ; sheat catfish fish,100
Lais tipis,glass catfish,Kryptopterus bicirrhis,lais,Lais,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Kryptopterus bicirrhis ; Kryptopterus bicirrhis fish ; ikan Lais tipis ; glass catfish fish,100
Lambe kepala titik putih,snooty wrasse,Cheilinus oxycephalus,bayeman,Bayeman,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Cheilinus oxycephalus ; Cheilinus oxycephalus fish ; ikan Lambe kepala titik putih ; snooty wrasse fish,100
Lampan,tinfoil barb,Barbonymus schwanenfeldii,tengadak (kalimantan); kapiat (sumatra); lampan (melayu); lampan; salab; kapiat; lampan; repang-repang,Lampan,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Barbonymus schwanenfeldii ; Barbonymus schwanenfeldii fish ; ikan Lampan ; tinfoil barb fish,100
Layang,japanese scad,Decapterus maruadsi,lajeng,Layang,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Decapterus maruadsi ; Decapterus maruadsi fish ; ikan Layang ; japanese scad fish,100
Layang anggur,redtail scad,Decapterus kurroides,malalugis; ronghak; subbo; momar; layang; layah; momar merah,Layang,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Decapterus kurroides ; Decapterus kurroides fish ; ikan Layang anggur ; redtail scad fish,100
Layang benggol,indian scad,Decapterus russelli,bengol; korok,Layang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Decapterus russelli ; Decapterus russelli fish ; ikan Layang benggol ; indian scad fish,100
Layang biru,mackerel scad,Decapterus macarellus,pectoralf pendek; layang biru; pectoralf pendek,Layang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Decapterus macarellus ; Decapterus macarellus fish ; ikan Layang biru ; mackerel scad fish,100
Layang deles,shortfin scad,Decapterus macrosoma,,Layang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Decapterus macrosoma ; Decapterus macrosoma fish ; ikan Layang lidi ; shortfin scad fish,100
Layang ekor merah,roughear scad,Decapterus tabl,,Layang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Decapterus tabl ; Decapterus tabl fish ; ikan Layang ekor merah ; roughear scad fish,100
Layaran,indo-pacific sailfish; bayonet,Istiophorus platypterus,jangilus; panombuk; geulang paying,Layaran,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Istiophorus platypterus ; Istiophorus platypterus fish ; ikan Layaran ; indo-pacific sailfish; bayonet fish,100
Layur,savalai hairtail,Lepturacanthus savala ; Trichiurus lepturus,domu; geser; jogor; komu; komu kacang; lajur; lajuru; layur; romu,Layur,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Lepturacanthus savala ; Lepturacanthus savala fish ; Trichiurus lepturus ; Trichiurus lepturus fish ; ikan Layur ; savalai hairtail fish,100
Layur merah,taper-tail ribbonfish,Zu elongatus,layur abang,Layur,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Zu elongatus ; Zu elongatus fish ; ikan Layur merah ; taper-tail ribbonfish fish,100
Leggett's rainbowfish,leggett's rainbowfish,Glossolepis leggetti,pelangi papua; pelangi wapoga (irian jaya),Rainbow,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Glossolepis leggetti ; Glossolepis leggetti fish ; ikan Leggett's rainbowfish ; leggett's rainbowfish fish,100
Lele,catfish,Clarias batrachus ; Clarias intermedius ; Clarias kapuensis ; Clarias leiachanthus ; Clarias microstomus ; Clarias olivaceus ; Clarias pseudoleiacanthus,kelih (sumatera); penang (kalimantan),Lele,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Clarias microstomus ; Clarias microstomus fish ; Clarias batrachus ; Clarias batrachus fish ; Clarias intermedius ; Clarias intermedius fish ; Clarias kapuensis ; Clarias kapuensis fish ; Clarias leiachanthus ; Clarias leiachanthus fish ; Clarias olivaceus ; Clarias olivaceus fish ; Clarias pseudoleiacanthus ; Clarias pseudoleiacanthus fish ; ikan Lele ; catfish fish,100
Lele bagrid,blacklancer catfish,Bagrichthys hypselopterus,baung layar,Baung,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Bagrichthys hypselopterus ; Bagrichthys hypselopterus fish ; ikan Lele bagrid ; blacklancer catfish fish,100
Lele biru salmon,blue salmon catfish,Neoarius graeffei,,Lele,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Neoarius graeffei ; Neoarius graeffei fish ; ikan Lele biru salmon ; blue salmon catfish fish,100
Lele dumbo,north african catfish,Clarias gariepinus,,Lele,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Clarias gariepinus ; Clarias gariepinus fish ; ikan Lele dumbo ; north african catfish fish,100
Lele kembang,catfish,Clarias meladerma ; Clarias teijsmanni,lele kembang (jawa); kaliang putiah (padang),Lele,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Clarias meladerma ; Clarias meladerma fish ; Clarias teijsmanni ; Clarias teijsmanni fish ; ikan Lele kembang ; catfish fish,100
Lele laut,striped eel catfish,Plotosus lineatus,sembilang karang,Lele,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Plotosus lineatus ; Plotosus lineatus fish ; ikan Lele laut ; striped eel catfish fish,100
Lele limbat,catfish,Clarias pseudonieuhofii,limbat,Lele,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Clarias pseudonieuhofii ; Clarias pseudonieuhofii fish ; ikan Lele limbat ; catfish fish,100
Lele walago,wallago catfish,Wallago leerii,tapah; lele helicopter,Tapah,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Wallago leerii ; Wallago leerii fish ; ikan Lele walago ; wallago catfish fish,100
Lemadang,common dolphinfish,Coryphaena hippurus,mahi - mahi,Lemadang,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Coryphaena hippurus ; Coryphaena hippurus fish ; ikan Lemadang ; common dolphinfish fish,100
Lemah,false trevally,Lactarius lactarius ; Lectarius lactarius,babete lubangan; budo; ikan batang; ikan susu; kapas-kapas; klemes; lapa iaai; lelemah; lemah susu; lemahan; limat; ramas; raramas; selah; silea; susu; tambi-tambi; tana,Kuwe,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Lactarius lactarius ; Lactarius lactarius fish ; Lectarius lactarius ; Lectarius lactarius fish ; ikan Lemah ; false trevally fish,100
Lembain,blackeye thicklip,Hemigymnus melapterus,kenari; tikusan biasa,Bayeman,LAUT,NON KONSUMSI,HIAS,TIDAK,HIGH,Hemigymnus melapterus ; Hemigymnus melapterus fish ; ikan Lembain ; blackeye thicklip fish,100
Lemuru,bali sardinella,Sardinella lemuru,sardin; sarden; siro-siro; ciro-ciro; soroi; tengkurung; sebulak; lengguru; teros; sembula; lemuru kucing; protolan; semenit lemuru; seroi; kucingan; tembang mata kucing; tembang moncong,Lemuru,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Sardinella lemuru ; Sardinella lemuru fish ; ikan Lemuru ; bali sardinella fish,100
Lencam,blue-lined large-eye bream,Gymnocranius elongatus ; Gymnocranius grandoculis ; Gymnocranius griseus ; Gymnocranius robinsoni ; Lethrinus erythracanthus ; Lethrinus hypselopterus ; Lethrinus mahsena ; Lethrinus microdon ; Lethrinus nebulosus ; Lethrinus olivaceus ; Lethrinus rubrioperculatus ; Lethrinus semicinctus ; Lethrinus variegatus ; Monotaxis grandoculis,ambangan; asuan; bagangan; bulan-bulan; diles; gopo; gotila; gulamah; ikan asual; ikan kapas laut dalam; jangki; ketamba; ketamba lencam; ketambak; lausu (bajo); lecam; lencam; mala; matahari; merjung; padi-padi putih; popontu lausu (bajo); ramin dan sikuda.; tambak mongcong; tambak pasir; tiga waja,Lencam,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Gymnocranius elongatus ; Gymnocranius elongatus fish ; Gymnocranius grandoculis ; Gymnocranius grandoculis fish ; Gymnocranius griseus ; Gymnocranius griseus fish ; Gymnocranius robinsoni ; Gymnocranius robinsoni fish ; Lethrinus erythracanthus ; Lethrinus erythracanthus fish ; Lethrinus hypselopterus ; Lethrinus hypselopterus fish ; Lethrinus mahsena ; Lethrinus mahsena fish ; Lethrinus microdon ; Lethrinus microdon fish ; Lethrinus nebulosus ; Lethrinus nebulosus fish ; Lethrinus olivaceus ; Lethrinus olivaceus fish ; Lethrinus rubrioperculatus ; Lethrinus rubrioperculatus fish ; Lethrinus semicinctus ; Lethrinus semicinctus fish ; Lethrinus variegatus ; Lethrinus variegatus fish ; Monotaxis grandoculis ; Monotaxis grandoculis fish ; grey large-eye bream fish ; ikan Lencam ; ikan Mala ; naked-headed sea bream; forktail bigeye bream forktail large-eye bream fish,100
Lencam emperor,brown-headed emperor; brown-headed emperor; longfin emperor,Lethrinus erythropterus,ketambak; lencam; ketamba; matahari,Lencam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Lethrinus erythropterus ; Lethrinus erythropterus fish ; ikan Lencam emperor ; brown-headed emperor; brown-headed emperor; longfin emperor fish,100
Lencang kuning,humphead bannerfish,Heniochus varius,kambingan; ikan bendera,Kepe-kepe,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Heniochus varius ; Heniochus varius fish ; ikan Lencang kuning ; humphead bannerfish fish,100
Lepo merah,yellowtail stargazer,Uranoscopus cognatus ; Uranoscopus kaianus,,Lepu,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Uranoscopus kaianus ; Uranoscopus kaianus fish ; Uranoscopus cognatus ; Uranoscopus cognatus fish ; ikan Lepo merah ; kai stargazer fish,100
Lepu angin,western scorpionfish,Scorpaena onaria,,Lepu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Scorpaena onaria ; Scorpaena onaria fish ; ikan Lepu angin ; western scorpionfish fish,100
Lepu barong,absent-minded scorpionfish,Sebastiscus tertius,,Lepu,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Sebastiscus tertius ; Sebastiscus tertius fish ; ikan Lepu barong ; absent-minded scorpionfish fish,100
Lepu batu,izu scorpionfish,Scorpaena izensis,,Lepu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Scorpaena izensis ; Scorpaena izensis fish ; ikan Lepu batu ; izu scorpionfish fish,100
Lepu eschmeyer's,eschmeyer's scorpionfish,Rhinopias eschmeyeri,,Lepu,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Rhinopias eschmeyeri ; Rhinopias eschmeyeri fish ; ikan Lepu eschmeyer's ; eschmeyer's scorpionfish fish,100
Lepu karang,onestick stingfish,Minous coccineus ; Scorpaenopsis diabolus,lepu batu; lepu setan,Rainbow,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Minous coccineus ; Minous coccineus fish ; Scorpaenopsis diabolus ; Scorpaenopsis diabolus fish ; ikan Lepu karang ; onestick stingfish fish,100
Lepu lacy,lacy scorpionfish,Rhinopias aphanes,,Lepu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Rhinopias aphanes ; Rhinopias aphanes fish ; ikan Lepu lacy ; lacy scorpionfish fish,100
Lepu orange-banded,orange-banded scorpionfish,Neosebastes entaxis,,Lepu,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Neosebastes entaxis ; Neosebastes entaxis fish ; ikan Lepu orange-banded ; orange-banded scorpionfish fish,100
Lepu papua,papuan scorpionfish,Scorpaenopsis papuensis,,Lepu,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Scorpaenopsis papuensis ; Scorpaenopsis papuensis fish ; ikan Lepu papua ; papuan scorpionfish fish,100
Lepu poss's,poss's scorpionfish,Scorpaenopsis possi,,Lepu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Scorpaenopsis possi ; Scorpaenopsis possi fish ; ikan Lepu poss's ; poss's scorpionfish fish,100
Lepu ruddy,ruddy scorpionfish,Pontinus rhodochrous,,Lepu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pontinus rhodochrous ; Pontinus rhodochrous fish ; ikan Lepu ruddy ; ruddy scorpionfish fish,100
Lepu weedy,weedy  scorpionfish,Rhinopias frondosa,,Lepu,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Rhinopias frondosa ; Rhinopias frondosa fish ; ikan Lepu weedy ; weedy  scorpionfish fish,100
Lepu yellowspotted,yellowspotted scorpionfish,Sebastapistes cyanostigma,,Lepu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Sebastapistes cyanostigma ; Sebastapistes cyanostigma fish ; ikan Lepu yellowspotted ; yellowspotted scorpionfish fish,100
